Reporting period,Organization,Organisation Type,Cluster,Main Activity,Implementing Partners,Type of Relief materials,Mode of delivery,Region,District,Pcode,Traditional_Authority,Village,Camp,Start_date,End_date,Status,Program Type,Total Beneficiaries,Total Male Beneficiaries,Total Female Beneficiaries,Beneficiary Type,Comment
30 Apr 2019,International Organization for Migration (IOM),UN Agency,Shelter and Camp Management,DTM,,"Deploy and train enuimerators, data collectors",in-kind,Southern Region,Zomba,MW303,,,,,,Ongoing,Emergency Response,,,,,
30 Apr 2019,International Organization for Migration (IOM),UN Agency,Shelter and Camp Management,"Shelter materials, CCCM, DTM",,"Activating shelter and camp management, collect data for DTM, supply tents, shelter kits, NFIs, Carry out mapping,",in-kind,Southern Region,Chikwawa,MW310,,,,,,Planned,Emergency Response,,,,,
30 Apr 2019,International Organization for Migration (IOM),UN Agency,Shelter and Camp Management,"Shelter materials, CCCM, DTM",,"Activating shelter and camp management, collect data for DTM, supply tents, shelter kits, NFIs, Carry out mapping,",in-kind,Southern Region,Nsanje,MW311,,,,,,Planned,Emergency Response,,,,,
30 Apr 2019,International Organization for Migration (IOM),UN Agency,Shelter and Camp Management,"Shelter materials, CCCM, DTM",,"Activating shelter and camp management, collect data for DTM, supply tents, shelter kits, NFIs, Carry out mapping,",in-kind,Southern Region,Phalombe,MW309,,,,,,Planned,Emergency Response,,,,,
30 Apr 2019,International Organization for Migration (IOM),UN Agency,Shelter and Camp Management,"Shelter materials, CCCM, DTM",,"Activating shelter and camp management, collect data for DTM, supply tents, shelter kits, NFIs, Carry out mapping,",in-kind,Southern Region,Zomba,MW303,,,,,,Planned,,,,,,
30 Apr 2019,Concern Worldwide,International NGO,Shelter and Camp Management,NFI and Shelter Kits,,"1,000 NFI kits",in-kind,Southern Region,Phalombe,MW309,,,,22-Mar-19,21-Apr-19,Completed,Emergency Response,25000,,,,
30 Apr 2019,GOAL MALAWI,International NGO,Transport Logistics and Communication,Transport,,Transport service for mobile clinics,in-kind,Southern Region,Nsanje,MW311,,,,,,Completed,,,,,,
30 Apr 2019,Iris Africa – Bangula,National/Local NGO,Transport Logistics and Communication,Transport,,Boat services for assessment & mobile clinics,in-kind,Southern Region,Nsanje,MW311,,,,,,Ongoing,,,,,,
30 Apr 2019,MSF-Belgium,International NGO,Transport Logistics and Communication,Transport,,Fuel for boats,in-kind,Southern Region,Nsanje,MW311,,,,,,Ongoing,,,,,,
30 Apr 2019,CARE Malawi,International NGO,Transport Logistics and Communication,Transport,,Fuel – Diesel,in-kind,Southern Region,Nsanje,MW311,,,,,,Ongoing,,,,,,
30 Apr 2019,ACTION AID,International NGO,Transport Logistics and Communication,Transport,,Provision of transport for Assessment,in-kind,Southern Region,Nsanje,MW311,,,,,,Ongoing,,,,,,
30 Apr 2019,Malawi Red Cross Society,Red Cross Movement,Water Sanitation and Hygiene (WASH),Distribution of Hygiene items,,hygene (soap),in-kind,Southern Region,Nsanje,MW311,,,,,,Completed,,,,,,
30 Apr 2019,GOAL MALAWI,International NGO,Water Sanitation and Hygiene (WASH),Distribution of Hygiene items,,"Plastic pails, tapped buckets, HTC / Chlorine (Kg), full house toilet",in-kind,Southern Region,Nsanje,MW311,,,,,,Completed,,,,,,
30 Apr 2019,CARE Malawi,International NGO,Water Sanitation and Hygiene (WASH),Hygiene items,,"20L buckets with lids (6,000) and 3,500 bottles of waterguard",in-kind,Southern Region,Nsanje,MW311,"Mlolo, Ndamera, Mbenje",,,,,Completed,Emergency Response,,,,,
30 Apr 2019,CARE Malawi,International NGO,Water Sanitation and Hygiene (WASH),Sanitation items,,Temporary latrine kits (60) and bathing facilities for women (30),in-kind,Southern Region,Nsanje,MW311,"Mlolo, Ndamera, Mbenje",,,,,Ongoing,Emergency Response,,,,,
30 Apr 2019,Care Malawi,International NGO,Water Sanitation and Hygiene (WASH),Hygiene and sanitation infrastructure,,Construction of 40 temporary latrines and 20 bathing facilities for women,in-kind,Southern Region,Nsanje,MW311,"Mlolo, Ndamera, Mbenje",,,,,Ongoing,Emergency Response,,,,,
30 Apr 2019,Care Malawi,International NGO,Water Sanitation and Hygiene (WASH),Hygiene and sanitation infrastructure,,Construction of 20 temporary latrines and 10 bathing facilities for women,in-kind,Southern Region,Chikwawa,MW310,,,,,,Planned,Emergency Response,,,,,
30 Apr 2019,Care Malawi,International NGO,Agriculture,Seed distribution,,"Seeds (maize, OFSP, beans, vegetables)",in-kind,Southern Region,Nsanje,MW311,"Mlolo, Ndamera, Mbenje",,,,,Ongoing,Early Recovery,9900,,,,
30 Apr 2019,Care Malawi,International NGO,Agriculture,Seed distribution,,"Seeds (maize, OFSP, beans, vegetables)",in-kind,Southern Region,Nsanje,MW311,"Mlolo, Mbenje",,,,,Planned,Early Recovery,9450,,,,
30 Apr 2019,Care Malawi,International NGO,Agriculture,Seed distribution,ADRA,"Seeds (maize, OFSP, beans, vegetables)",in-kind,Southern Region,Phalombe,MW309,,,,,,Planned,Early Recovery,9450,,,,
30 Apr 2019,CARE Malawi,International NGO,Shelter and Camp Management,Shelter materials,,Plastic sheets (2000 sets of 20 meters),in-kind,Southern Region,Nsanje,MW311,"Mlolo, Ndamera, Mbenje",,,,,Completed,,,,,,
30 Apr 2019,CARE Malawi,International NGO,Shelter and Camp Management,Shelter materials,,"Tarpaulins (2 per HH) + cash transfer and training on building back better for 1,100 HH",In-kind,Southern Region,Nsanje,MW311,"Mlolo, Mbenje, possibly Tengani",,,,,Planned,Early Recovery,4950,,,,
30 Apr 2019,CARE Malawi,International NGO,Protection,Dignity Kits,"Sanitary pads, underwear/panties, Sanitary cloth, Solar lamps","Provision of 1,000 dignity kits as per UNFPA specifications",in-kind,Southern Region,Nsanje,MW311,"Mlolo, Mbenje",,Old Lalanje Camp,,,Ongoing,Emergency Response,1000,,,,
30 Apr 2019,Save the Children,International NGO,Water Sanitation and Hygiene (WASH),NFIS,,"1500 packets of sanitary pads, 7200 dozens of U-Fresh laundry soap, 2000 bottles (150 ml) of water guard, 450 kgs of HTH Chlorine",in-kind,Southern Region,Chikwawa,MW310,,,,,,Ongoing,,,,,,
30 Apr 2019,Islamic Relief,International NGO,Water Sanitation and Hygiene (WASH),Provision of NFIS,Islamic Relief,"NFIs included buckets, plates, cups, soap and chroline",in-kind,Southern Region,Chikwawa,MW310,,,,,,Planned,,,,,,
30 Apr 2019,Help Age,International NGO,Water Sanitation and Hygiene (WASH),Provision if NFIs,Islamic Relief,"NFIs included buckets, plates, basins, bathing soap and washing soap",in-kind,Southern Region,Chikwawa,MW310,,,,,,Ongoing,,,,,,
30 Apr 2019,United Purpose,National/Local NGO,Water Sanitation and Hygiene (WASH),WASH assistance,,"2 Chlor.test,DPD Nº1,Photo,tablets/PAC-250; 1 Phenol Red, pH 6.8-8.4,Photo,tabs/PAC-250; 12 Plastic Tarpaulin F.R. Roll (4x50m)
  2 HTH - Chlorine; 1158 Bucket, plastic, 20l 795 Bucket, plastic, with lid and tap, 20L 18 Bucket, plastic, w lid, w tap, 60l",in-kind,Southern Region,Chikwawa,MW310,,,,,,Ongoing,,,,,,
30 Apr 2019,United Purpose,National/Local NGO,Water Sanitation and Hygiene (WASH),WASH assistance,,"164 Bacteriological H2S field tst kit,bottle; 100 Bucket, plastic, 20l (untapped); 250 Bucket, plastic, with lid and tap, 20L (tapped) ; 2 Chlor.test,DPD Nº1,Photo,tablets/PAC-250; 1 Phenol Red,pH 6.8-8.4,Photo,tabs/PAC-250; 3 Plastic Tarpaulin F.R. Roll (4x50m)
  4 HTH - Chlorine; 105 Bucket, plastic, 20l",in-kind,Southern Region,Blantyre,MW305,,,,,,Ongoing,,,,,,
30 Apr 2019,United Purpose,National/Local NGO,Water Sanitation and Hygiene (WASH),WASH assistance,,"222 Bacteriological H2S field tst kit,bottle; 278Bucket, plastic, 20l (untapped); 278 Bucket, plastic, with lid and tap, 20L (tapped) 
  2 Chlor.test,DPD Nº1,Photo,tablets/PAC-250; 1 Phenol Red,pH 6.8-8.4,Photo,tabs/PAC-250; 3 Chlorine Pooltester,visual,bloc,2 scales
  4 Plastic Tarpaulin F.R. Roll (4x50m); 6 HTH - Chlorine",in-kind,Southern Region,Balaka,MW312,,,,,,Ongoing,,,,,,
30 Apr 2019,United Purpose,National/Local NGO,Water Sanitation and Hygiene (WASH),WASH assistance,,"199 Bacteriological H2S field tst kit,bottle; 134 Bucket, plastic, 20l (untapped); 200 Bucket, plastic, with lid and tap, 20L (tapped) 
  2 Chlor.test,DPD Nº1,Photo,tablets/PAC-250; 1 Phenol Red,pH 6.8-8.4,Photo,tabs/PAC-250; 2 Chlorine Pooltester,visual,bloc,2 scales
  9 Plastic Tarpaulin F.R. Roll (4x50m); 4 HTH - Chlorine 337 Bucket, plastic, 20l; 402 Bucket, plastic, with lid and tap, 20L 8 Bucket, plastic, w lid, w tap, 60l",in-kind,Southern Region,Mulanje,MW308,,,,,,Ongoing,,,,,,
30 Apr 2019,United Purpose,National/Local NGO,Water Sanitation and Hygiene (WASH),WASH assistance,,"323 Bucket, plastic, with lid and tap, 20L (tapped); 2 Chlor.test,DPD Nº1,Photo,tablets/PAC-250; 1 Phenol Red,pH 6.8-8.4,Photo,tabs/PAC-250
  3 Plastic Tarpaulin F.R. Roll (4x50m); 4 HTH - Chlorine 716 Bucket, plastic, 20l 393 Bucket, plastic, with lid and tap, 20L 10 Bucket, plastic, w lid, w tap, 60l",in-kind,Southern Region,Nsanje,MW311,,,,,,Ongoing,,,,,,
30 Apr 2019,Concern Worldwide,International NGO,Water Sanitation and Hygiene (WASH),latrines,,WASH services,in-kind,Southern Region,Nsanje,MW311,,,,,,Ongoing,,,,,,
30 Apr 2019,Oxfam,International NGO,Water Sanitation and Hygiene (WASH),"Water tret, soap, dignity kit, hygeiene promotion,",Direct implementation,"Drilling borehole, Plastic pails, tapped buckets, HTC / Chlorine (Kg), soap,",in-kind,Southern Region,Nsanje,MW311,,,,,,Planned,,,,,,
30 Apr 2019,Welthungerhilfe,International NGO,Water Sanitation and Hygiene (WASH),rehab water supply,Direct implementation,rehab water points,in-kind,Southern Region,Chikwawa,MW310,,,,,,Completed,Emergency Response,,,,,
30 Apr 2019,UNICEF,UN Agency,Water Sanitation and Hygiene (WASH),Emergency WASH: provision of WASH supplies for immediate needs in 9 districts through UP,United Purpose,Chlorine (HTH- 65%) in 25kg tin; water guard; Soap for hand washing; pool testers; mobile plastic latrines; water testing kits- H2S strips; water collection and storage buckets (20L); and hygiene promotion materials.,in-kind,Southern Region,Nsanje,MW311,,,,,,Ongoing,,,,,,
